level,n,y,p,gap,se,z,contrib,var
24115,288,0.40625,0.42460743260724343,-0.01835743260724343,0.02912592158663114,-0.6302781717186773,0.15325757183172586,투수
24129,1161,0.425495262704565,0.4340167364473,-0.008521473742734986,0.014545843918679182,-0.585835637339134,0.13312732563512905,투수
24136,1079,0.48007414272474513,0.47977565151121027,0.0002984912135348683,0.015209107062992614,0.019625821049098182,0.00015180641197515935,투수
24166,270,0.5592592592592592,0.4984901091531707,0.06076915010608852,0.030428892229786567,1.9970871646323736,1.574474592697806,투수
24169,434,0.4631336405529954,0.4573816368664657,0.005752003686529672,0.023913422716114505,0.24053452133615225,0.022674285389814232,투수
24178,781,0.47631241997439183,0.471471257452462,0.004841162521929843,0.017862259688770078,0.2710274403284742,0.028903865427343328,투수
24183,496,0.4737903225806452,0.46612019216626405,0.007670130414381138,0.022399063858478275,0.3424308472373016,0.04607790665952466,투수
24185,290,0.4793103448275862,0.47520272533289415,0.004107619494692072,0.02932488029014483,0.14007284783605797,0.007726520802622088,투수
24209,695,0.48633093525179855,0.4696202343456505,0.016710700906148068,0.018931039938400993,0.8827143654296011,0.30646416846676905,투수
24222,2396,0.510016694490818,0.5103994199826785,-0.00038272549186046945,0.010212513439138489,-0.03747613103682295,0.0005542008162123859,투수
24224,1173,0.40494458653026427,0.4206481832900232,-0.01570359675975891,0.0144139061271446,-1.089475442759096,0.45677449844011253,투수
24234,878,0.5034168564920274,0.4693681002092524,0.03404875628277498,0.016842486367993514,2.0215991593426055,1.6073208900827458,투수
24240,1899,0.47919957872564506,0.4888167358399005,-0.009617157114255426,0.011470936202330593,-0.8383933921889891,0.27734730782903544,투수
24252,1248,0.4911858974358974,0.4993531080084402,-0.008167210572542771,0.014153451081224493,-0.5770472887264313,0.13145213948847934,투수
24265,915,0.3650273224043716,0.4165139662705643,-0.05148664386619273,0.01629744296454671,-3.159185399709405,3.8301504061736886,투수
24286,1814,0.474090407938258,0.4920666515345372,-0.017976243596279196,0.011738069830336472,-1.5314480026196868,0.925637071185365,투수
24300,2507,0.46749102512963703,0.4874687092894897,-0.019977684159852682,0.009982892561694538,-2.0011919427550753,1.5799748982972652,투수
24305,702,0.46296296296296297,0.489806175113101,-0.02684321215013802,0.01886736151110067,-1.4227326981753505,0.798751427429555,투수
